[id][cost,state,father_id,action,depth,h,value]
[0](0,(0, 0),None,None,0,98,0)
[1](2,(1, 0),0,S,1,97,0.5)
[3](4,(1, 1),1,E,2,96,0.333333333333333314829616256247390992939472198486328125)
[5](8,(0, 1),3,N,3,97,0.25)
[9](9,(0, 2),5,E,4,96,0.200000000000000011102230246251565404236316680908203125)
[11](12,(1, 2),9,S,5,95,0.1666666666666666574148081281236954964697360992431640625)
[14](16,(1, 3),11,E,6,94,0.142857142857142849212692681248881854116916656494140625)
[17](17,(0, 3),14,N,7,95,0.125)
[21](20,(0, 4),17,E,8,94,0.111111111111111104943205418749130330979824066162109375)
[23](23,(0, 5),21,E,9,93,0.1000000000000000055511151231257827021181583404541015625)
[26](24,(0, 6),23,E,10,92,0.0909090909090909116141432377844466827809810638427734375)
[29](26,(0, 7),26,E,11,91,0.08333333333333332870740406406184774823486804962158203125)
[32](27,(0, 8),29,E,12,90,0.076923076923076927347011633173679001629352569580078125)
[34](30,(0, 9),32,E,13,89,0.0714285714285714246063463406244409270584583282470703125)
[37](31,(0, 10),34,E,14,88,0.06666666666666666574148081281236954964697360992431640625)
[39](32,(0, 11),37,E,15,87,0.0625)
[42](36,(0, 12),39,E,16,86,0.05882352941176470506601248189326724968850612640380859375)
[45](37,(0, 13),42,E,17,85,0.0555555555555555524716027093745651654899120330810546875)
[48](40,(0, 14),45,E,18,84,0.052631578947368418130992040460114367306232452392578125)
[51](44,(0, 15),48,E,19,83,0.05000000000000000277555756156289135105907917022705078125)
[54](46,(0, 16),51,E,20,82,0.047619047619047616404230893749627284705638885498046875)
[57](48,(0, 17),54,E,21,81,0.04545454545454545580707161889222334139049053192138671875)
[60](49,(0, 18),57,E,22,80,0.0434782608695652161845401906248298473656177520751953125)
[63](51,(1, 18),60,S,23,79,0.041666666666666664353702032030923874117434024810791015625)
[67](53,(1, 17),63,O,24,80,0.040000000000000000832667268468867405317723751068115234375)
[71](54,(1, 16),67,O,25,81,0.0384615384615384636735058165868395008146762847900390625)
[75](56,(1, 15),71,O,26,82,0.037037037037037034981068472916376776993274688720703125)
[79](57,(1, 14),75,O,27,83,0.03571428571428571230317317031222046352922916412353515625)
[83](58,(1, 13),79,O,28,84,0.03448275862068965469386938593743252567946910858154296875)
[86](59,(2, 13),83,S,29,83,0.033333333333333332870740406406184774823486804962158203125)
[90](61,(2, 12),86,O,30,84,0.0322580645161290313627233672377769835293292999267578125)
[92](62,(3, 12),90,S,31,83,0.03125)
[94](63,(3, 11),92,O,32,84,0.0303030303030303038713810792614822275936603546142578125)
[97](66,(3, 10),94,O,33,85,0.029411764705882352533006240946633624844253063201904296875)
[98](67,(2, 10),97,N,34,86,0.0285714285714285705364279266404992085881531238555908203125)
[104](69,(2, 9),98,O,35,87,0.02777777777777777623580135468728258274495601654052734375)
[107](72,(2, 8),104,O,36,88,0.027027027027027028527328411655616946518421173095703125)
[110](73,(2, 7),107,O,37,89,0.0263157894736842090654960202300571836531162261962890625)
[114](76,(2, 6),110,O,38,90,0.025641025641025640136039243088816874660551548004150390625)
[122](77,(2, 5),114,O,39,91,0.025000000000000001387778780781445675529539585113525390625)
[129](78,(2, 4),122,O,40,92,0.024390243902439025236450476086247363127768039703369140625)
[133](82,(2, 3),129,O,41,93,0.0238095238095238082021154468748136423528194427490234375)
[140](85,(2, 2),133,O,42,94,0.02325581395348837177028400446943123824894428253173828125)
[144](88,(2, 1),140,O,43,95,0.022727272727272727903535809446111670695245265960693359375)
[147](89,(2, 0),144,O,44,96,0.0222222222222222230703092549219945794902741909027099609375)
[150](92,(3, 0),147,S,45,95,0.02173913043478260809227009531241492368280887603759765625)
[152](93,(3, 1),150,E,46,94,0.0212765957446808505471036454537170357070863246917724609375)
[154](94,(3, 2),152,E,47,93,0.0208333333333333321768510160154619370587170124053955078125)
[158](95,(3, 3),154,E,48,92,0.0204081632653061208204636756136096664704382419586181640625)
[162](98,(3, 4),158,E,49,91,0.0200000000000000004163336342344337026588618755340576171875)
[166](99,(3, 5),162,E,50,90,0.01960784313725490168867082729775574989616870880126953125)
[169](100,(3, 6),166,E,51,89,0.01923076923076923183675290829341975040733814239501953125)
[172](103,(4, 6),169,S,52,88,0.0188679245283018860723789345001932815648615360260009765625)
[177](104,(4, 5),172,O,53,89,0.0185185185185185174905342364581883884966373443603515625)
[180](108,(4, 4),177,O,54,90,0.018181818181818180935049866775443661026656627655029296875)
[183](112,(5, 4),180,S,55,89,0.017857142857142856151586585156110231764614582061767578125)
[187](113,(5, 3),183,O,56,90,0.017543859649122806043664013486704789102077484130859375)
[188](114,(4, 3),187,N,57,91,0.017241379310344827346934692968716262839734554290771484375)
[194](117,(4, 2),188,O,58,92,0.0169491525423728812971280177634980645962059497833251953125)
[197](120,(5, 2),194,S,59,91,0.0166666666666666664353702032030923874117434024810791015625)
[201](121,(5, 1),197,O,60,92,0.0163934426229508205252738406443313579075038433074951171875)
[202](124,(4, 1),201,N,61,93,0.01612903225806451568136168361888849176466464996337890625)
[208](127,(4, 0),202,O,62,94,0.015873015873015872134743631249875761568546295166015625)
